allUpdates.txt


ctan.altspu.ru.txt
Changed at:			 Timestamp
2020-03-15T02:27:07		 2020-03-14T18:02
2020-03-15T02:32:19		 2020-03-14T23:02
2020-03-15T02:47:56		 2020-03-14T18:02
2020-03-15T02:53:08		 2020-03-14T23:02
2020-03-15T02:58:20		 2020-03-14T18:02
2020-03-15T03:03:54		 2020-03-14T23:02
2020-03-15T03:15:00		 2020-03-14T18:02
2020-03-15T03:36:34		 2020-03-14T23:02
2020-03-15T03:41:48		 2020-03-14T18:02
2020-03-15T03:47:10		 2020-03-14T23:02
2020-03-15T03:52:27		 2020-03-14T18:02
2020-03-15T03:57:41		 2020-03-14T23:02
2020-03-15T08:39:14		 2020-03-15T04:02
2020-03-15T09:16:49		 2020-03-14T23:02
2020-03-15T09:28:01		 2020-03-15T04:02


muug.ca.txt
Changed at:			 Timestamp
-				 2020-03-13T09:02
2020-03-13T14:41:15		 2020-03-13T13:02
2020-03-13T18:36:57		 2020-03-13T17:02
2020-03-13T22:49:44		 2020-03-13T21:02
2020-03-14T02:33:26		 2020-03-14T01:02
2020-03-14T06:11:48		 2020-03-14T05:02
2020-03-14T10:48:31		 2020-03-14T09:02
2020-03-14T14:09:10		 2020-03-14T13:02
2020-03-14T18:15:20		 2020-03-14T17:02
2020-03-14T22:24:23		 2020-03-14T21:02
2020-03-15T02:47:57		 2020-03-15T01:02
2020-03-15T06:10:00		 2020-03-15T05:02


packages.hs-regensburg.de.txt
Changed at:			 Timestamp
-				 2020-03-13T06:02
2020-03-13T15:02:19		 2020-03-13T13:02
2020-03-13T20:01:23		 2020-03-13T18:02
2020-03-14T02:02:18		 2020-03-14T00:02
2020-03-14T08:02:42		 2020-03-14T06:02
2020-03-14T15:01:47		 2020-03-14T13:02
2020-03-14T20:02:56		 2020-03-14T18:02
2020-03-15T02:00:25		 2020-03-15T00:02
2020-03-15T08:02:40		 2020-03-15T06:02


texlive.info.txt
Changed at:			 Timestamp
-				 2020-03-13T02:02
2020-03-14T04:01:59		 2020-03-14T02:02
2020-03-15T04:03:02		 2020-03-15T02:02


